room_type_id,large_double_bed,large_bed,single_bed,sofa_bed,double_bed,small_double_bed,king_size_bed,futon_mattress,bunk_bed,flexibility_score,sqm,bathroom_count,is_private_bathroom,views,balcony-terrace,closet,air_conditioning,hair_dryer,complimentary-bottled-water,bathtub,shower,refrigerator,high-floor,dressing-room,ground-floor,private-pool,top-floor,complimentary-instant-coffee,electric-blanket,free-welcome-drink,low-floor,complimentary-tea,coffee-tea-maker,hot-spring-access,bedroom_count
9161,0,0,0,0,1,0,0,0,0,1,20.0,1,1,no view,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9162,0,0,1,0,1,0,0,0,0,1,25.0,1,1,city,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9163,1,0,0,0,0,0,0,0,0,1,55.0,2,1,nature,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
9164,0,0,0,1,1,0,0,0,0,1,66.0,2,1,city,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
9165,0,0,1,0,0,0,0,0,0,1,25.0,1,1,garden,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9166,1,0,0,0,0,0,0,0,0,1,25.0,1,1,garden,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9167,1,0,0,0,0,0,0,0,0,1,19.0,1,1,nature,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9168,1,0,0,0,0,0,0,0,0,1,19.0,1,1,nature,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9169,0,0,0,0,1,0,0,0,0,1,67.0,2,1,no view,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
9170,0,1,0,0,0,0,0,0,0,1,60.0,2,1,city,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
9171,0,0,0,0,1,0,0,0,0,1,15.0,1,1,no view,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9172,1,0,0,0,0,0,0,0,0,1,18.0,1,1,no view,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9173,1,0,0,0,1,0,0,0,0,1,65.0,2,1,nature,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2
9174,0,1,0,0,0,0,0,0,0,1,25.0,1,1,nature,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9175,0,0,0,0,1,0,0,0,0,1,74.0,1,1,no view,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
