,room_type_id,bed_str,expanded_bed,large_double_bed,large_bed,single_bed,sofa_bed,double_bed,small_double_bed,king_size_bed,futon_mattress,bunk_bed,extra_long_bed,flexibility_score,sqm,bathroom_count,is_private_bathroom,views_str,views,balcony-terrace,non-smoking-room,closet,air_conditioning,mini_bar,hair_dryer,extra-long-beds,complimentary-bottled-water,bathtub,shower,separate-shower-and-tub,refrigerator,high-floor,dressing-room,ground-floor,private-pool,executive-lounge-access,top-floor,complimentary-instant-coffee,jacuzzi-bathtub,smoking-allowed,electric-blanket,free-welcome-drink,low-floor,complimentary-tea,coffee-tea-maker,hot-spring-access,bedroom_str,bedroom_count,confirmation-instant_str,confirmation-instant
65,68,,[],0,0,0,0,0,0,0,0,0,0,1,17.0,0,1,,,,True,,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,
66,69,,[],0,0,0,0,0,0,0,0,0,0,1,25.0,3,1,,,,,True,True,,True,,,,,,,,,,,,,True,,,,,,,,,,0,,
67,70,2 giường đôi,"[{'bed_type': 'giường đôi', 'bed_count': 2}]",0,0,0,0,1,0,0,0,0,0,1,41.0,0,1,Hướng Thành phố,thanh pho,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Cửa sổ,cua so
68,71,1 giường đôi lớn,"[{'bed_type': 'giường đôi lớn', 'bed_count': 1}]",1,0,0,0,0,0,0,0,0,0,1,25.0,1,1,,,,,,True,,,,,True,True,,,,,,,,,,,,,,,,,,,0,,
69,72,2 giường đôi lớn,"[{'bed_type': 'giường đôi lớn', 'bed_count': 2}]",1,0,0,0,0,0,0,0,0,0,1,32.0,1,1,Hướng Thành phố,thanh pho,True,True,,,True,,,,True,,,,,,,,,,,,,,,,,,,,0,Cửa sổ,cua so
70,73,2 giường đơn,"[{'bed_type': 'giường đơn', 'bed_count': 2}]",0,0,1,0,0,0,0,0,0,0,1,22.0,1,1,Hướng Thành phố,thanh pho,,True,,,,,,,,,True,,,,,,,,,,,,,,,,,,0,Cửa sổ có thể mở ra,cua so co the mo ra
71,74,1 giường lớn,"[{'bed_type': 'giường lớn', 'bed_count': 1}]",0,1,0,0,0,0,0,0,0,0,1,22.0,1,1,Hướng Thành phố,thanh pho,,True,,,,,,,,,True,,,,,,,,,,,,,,,,,,0,Cửa sổ,cua so
72,75,1 giường lớn,"[{'bed_type': 'giường lớn', 'bed_count': 1}]",0,1,0,0,0,0,0,0,0,0,1,33.0,1,1,Hướng Thành phố,thanh pho,,True,,,,,,,,,True,,,,,,,,,,,,,,,,,,0,Cửa sổ có thể mở ra,cua so co the mo ra
73,76,1 giường lớn,"[{'bed_type': 'giường lớn', 'bed_count': 1}]",0,1,0,0,0,0,0,0,0,0,1,33.0,1,1,Hướng Thành phố,thanh pho,,True,,,,,,,,,True,,,,,,,,,,,,,,,,,,0,Cửa sổ có thể mở ra,cua so co the mo ra
74,77,2 giường đơn,"[{'bed_type': 'giường đơn', 'bed_count': 2}]",0,0,1,0,0,0,0,0,0,0,1,33.0,1,1,Hướng Thành phố,thanh pho,True,True,,,,,,,,,True,,,,,,,,,,,,,,,,,,0,Cửa sổ có thể mở ra,cua so co the mo ra
75,78,1 giường lớn,"[{'bed_type': 'giường lớn', 'bed_count': 1}]",0,1,0,0,0,0,0,0,0,0,1,33.0,1,1,Hướng Thành phố,thanh pho,True,True,,,,,,,,,True,,,,,,,,,,,,,,,,,,0,Cửa sổ có thể mở ra,cua so co the mo ra
76,79,1 giường lớn,"[{'bed_type': 'giường lớn', 'bed_count': 1}]",0,1,0,0,0,0,0,0,0,0,1,26.0,0,1,Hướng Sân trong,san trong,True,True,,,True,,,,,,,,,,,,,True,,,,,,,,,,,0,Hành lang ngoài,hanh lang ngoai
77,80,1 giường đôi lớn,"[{'bed_type': 'giường đôi lớn', 'bed_count': 1}]",1,0,0,0,0,0,0,0,0,0,1,35.0,0,1,,,True,True,,True,,,,,,True,,,,,,,,,,,,,,,,,,,0,Ấm nước điện,am nuoc dien
78,81,1 giường đơn,"[{'bed_type': 'giường đơn', 'bed_count': 1}]",0,0,1,0,0,0,0,0,0,0,1,35.0,1,1,Hướng Đường phố,duong pho,True,True,,,True,,,,,,True,,,,,,,,,,,,,,,,,,0,Hành lang ngoài,hanh lang ngoai
79,82,1 giường đôi lớn,"[{'bed_type': 'giường đôi lớn', 'bed_count': 1}]",1,0,0,0,0,0,0,0,0,0,1,35.0,1,1,Hướng Vườn,vuon,True,,True,,,,,True,,,,,,,,,,,,,,,,,,,,,0,Đồ dùng cho giấc ngủ thoải mái,do dung cho giac ngu thoai mai
